model,question_id,question,reference_answer,generated_answer,rouge1,rouge2,rougeL,retrieval_time,retrieved_rank_1,retrieved_rank_2,retrieved_rank_3,retrieved_rank_4,retrieved_rank_5
sentence_transformer,Q001,What is BERGEN designed to provide for RAG research?,"BERGEN is a Python library designed to support easy, reproducible, end-to-end RAG experiments and standardize comparisons across RAG systems.","BERGEN is designed to provide a unified, standardized, and open-sourced benchmarking library that enables a reproducible and comprehensive study of state-of-the-art retrievers, rerankers, and large language models (LLMs) in retrieval-augmented generation (RAG). It streamlines experimental configurations to systematically train and evaluate RAG systems.",0.37681159420289856,0.08955223880597013,0.26086956521739124,0.8508637000340968,A Benchmarking Library for Retrieval-Augmented Generation_P014_C000,A Benchmarking Library for Retrieval-Augmented Generation_P001_C002,A Benchmarking Library for Retrieval-Augmented Generation_P003_C000,A Benchmarking Library for Retrieval-Augmented Generation_P016_C000,RAG Failure Points and Challenges_P002_C000
sentence_transformer,Q002,How does reranking affect RAG performance in the BERGEN experiments?,"The BERGEN experiments show that reranking substantially improves results, with SPLADE-v3 reranked by DeBERTa-v3 achieving the strongest performance among the compared retrieval setups.",The provided document context does not contain specific information on how reranking affects RAG performance in the BERGEN experiments.,0.2727272727272727,0.09523809523809525,0.1818181818181818,0.04116770008113235,A Benchmarking Library for Retrieval-Augmented Generation_P003_C000,A Benchmarking Library for Retrieval-Augmented Generation_P001_C002,A Benchmarking Library for Retrieval-Augmented Generation_P002_C002,survey_of_RAG_P002_C002,RAG Failure Points and Challenges_P002_C000
sentence_transformer,Q003,What does BERGEN conclude about the importance of retrieval quality for RAG generation?,BERGEN concludes that retrieval quality significantly affects RAG response generation and emphasizes using state-of-the-art retrievers and rerankers.,The provided document context does not contain any information about BERGEN's conclusions regarding the importance of retrieval quality for RAG generation.,0.3333333333333333,0.05,0.23809523809523808,0.05062650004401803,survey_of_RAG_P002_C001,survey_of_RAG_P012_C004,A Benchmarking Library for Retrieval-Augmented Generation_P001_C002,survey_of_RAG_P001_C006,survey_of_RAG_P012_C005
sentence_transformer,Q004,What is Ragas and what problem is it intended to solve?,Ragas is a framework for reference-free automated evaluation of retrieval-augmented generation pipelines.,"RAGAS is based on a handful of heuristic hand-written prompts and is designed to address the burden of managing several associated sub-questions in RAG evaluation sets, an issue that ARES does not bring.",0.20408163265306123,0.0425531914893617,0.16326530612244897,0.019590600044466555,Embedding Similarity in RAG_P002_C007,RAG Failure Points and Challenges_P002_C000,survey_of_RAG_P001_C008,survey_of_RAG_P001_C006,survey_of_RAG_P002_C004
sentence_transformer,Q005,How are the proposed Ragas metrics compared with human judgments?,"The proposed metrics are evaluated by measuring how often their preferred answer or context agrees with human annotators, with agreement reported as accuracy.","The proposed RAG metrics, such as those produced by LLM judge-based tools like ARES, generate quality scores by predicting context relevance, answer faithfulness, and answer relevance. These scores can be averaged to evaluate each RAG system. However, since these scores reflect entirely unlabeled data predicted by synthetically-trained LLM judges, they may not be entirely accurate. A small human preference validation set is used to compare and validate these LLM-generated scores. Combining LLM predictions with the human preference validation set helps boost evaluation precision. Nonetheless, annotation-based evaluation requires substantial human labeling, which is costly in time and financing. Thus, the LLM-generated metrics are complemented but not fully replaced by human judgments to improve reliability.",0.18439716312056736,0.028776978417266192,0.14184397163120568,0.015158499940298498,survey_of_RAG_P012_C003,Embedding Similarity in RAG_P004_C002,survey_of_RAG_P014_C000,Embedding Similarity in RAG_P004_C001,survey_of_RAG_P014_C001
sentence_transformer,Q006,What evaluation need does the Ragas study emphasize in its conclusion?,"The study emphasizes the need for automated, reference-free evaluation methods for RAG systems.","The RAGAS study emphasizes the evaluation need for greater adaptability to new RAG evaluation settings, as it is based on a handful of heuristic hand-written prompts that offer little adaptability.",0.35555555555555557,0.13953488372093023,0.3111111111111111,0.016082499991171062,Embedding Similarity in RAG_P002_C007,survey_of_RAG_P012_C003,survey_of_RAG_P012_C005,survey_of_RAG_P012_C006,RAG Failure Points and Challenges_P002_C000
sentence_transformer,Q007,What is a major contribution of the BM25-to-Corrective-RAG benchmark?,"The study provides a systematic benchmark of ten retrieval methods on a text-and-table financial question-answering corpus, including methods such as contextual retrieval, CRAG, and neural reranking.","A major contribution of the BM25-to-Corrective-RAG benchmark is the comprehensive evaluation of ten retrieval strategies on 23,088 queries over 7,318 text-and-table documents, demonstrating that a two-stage pipeline of hybrid retrieval with neural reranking achieves the best performance, outperforming all single-stage methods by a wide margin.",0.3614457831325302,0.1234567901234568,0.2891566265060241,0.03529159992467612,E5_Text_Embeddings_Microsoft_P005_C005,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P006_C002,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P002_C004,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P008_C002,ColBERT_Late_Interaction_Retrieval_P008_C008
sentence_transformer,Q008,Which retrieval pipeline achieved the best Recall@5 on the full T2-RAGBench test set?,"A two-stage pipeline combining hybrid retrieval with neural reranking achieved the best Recall@5, reaching 0.816 on the full T2-RAGBench test set.",A two-stage pipeline of hybrid retrieval with neural reranking achieved the best Recall@5 (0.816) on the full T2-RAGBench test set.,0.9387755102040817,0.851063829787234,0.9387755102040817,0.019848300027661026,A Benchmarking Library for Retrieval-Augmented Generation_P002_C006,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P008_C002,A Benchmarking Library for Retrieval-Augmented Generation_P018_C000,RAG_for_factual_answers_P008_C003,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P002_C004
sentence_transformer,Q009,What key conclusion does the benchmark report about hybrid retrieval with neural reranking?,"The study concludes that a two-stage hybrid retrieval plus neural reranking pipeline performs best, reaching Recall@5 of 0.816 and MRR@3 of 0.605.","The benchmark key conclusion is that a two-stage pipeline of hybrid retrieval followed by neural reranking achieves the best performance, with Recall@5 = 0.816 and MRR@3 = 0.605, outperforming all single-stage methods by a wide margin. This architecture is the clear recommended approach for production retrieval-augmented generation (RAG) on text-and-table documents.",0.5176470588235293,0.2650602409638554,0.4470588235294118,0.0189182999311015,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P004_C000,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P001_C005,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P007_C001,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P003_C002,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P008_C002
sentence_transformer,Q010,How is BERT adapted in the passage reranking study?,The study adapts BERT as a query-based passage reranker for information retrieval.,"In the passage reranking study, BERT is fine-tuned on the MS MARCO training data for passage ranking, achieving a significant improvement (1.4 MRR@10 points better) over the previous state-of-the-art model, IR-NET. Anserini toolkit is used for indexing and retrieving the passages in this setup.",0.25,0.03225806451612903,0.1875,0.015775799984112382,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C003,GlobalRAG_GlobalQA_P013_C000,BERT_Passage_Reranking_P003_C003,E5_Text_Embeddings_Microsoft_P007_C000,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C000
