model,question_id,question,reference_answer,generated_answer,rouge1,rouge2,rougeL,retrieval_time,retrieved_rank_1,retrieved_rank_2,retrieved_rank_3,retrieved_rank_4,retrieved_rank_5
sentence_transformer,Q001,What are the main differences between sentence transformers and conventional BERT-based sentence representations?,"Sentence transformers produce more structured sentence representations than conventional BERT embeddings created through token averaging. They learn to discount less informative grammatical elements and focus more strongly on important semantic components such as the main clause and sentence participants, whereas averaged BERT representations tend to treat tokens more uniformly.","The main differences between sentence transformers (STs) and conventional BERT-based sentence representations are as follows:

1. **Focus on Semantic Kernels:** Sentence transformers learn to discount elements that serve mainly grammatical functions or provide background information and instead focus on the semantic kernel of the sentence, such as the matrix clause and main participants. In contrast, vanilla BERT with token averaging treats all tokens more or less equally, including punctuation, determiners, and modifiers, which can dominate the representation despite being semantically less central. (paper1.pdf, pages 4, 8)

2. **Representation Structure:** STs yield more structured embeddings that concentrate on key sentence elements. They are less tied to individual lexical items and function words, while conventional BERT embeddings generated by simple token averaging do not distinguish semantically rich from impoverished elements. (paper1.pdf, pages 8, 9)

3. **Interpretability and Predictability:** ST embeddings provide higher predictability in modeling sentence-pair similarities, especially in more complex sentences, whereas BERT embeddings become more unpredictable and are influenced more by semantically impoverished tokens. (paper1.pdf, page 4)

4. **Bias in Representation:** The trained objective of STs encourages producing similar vector-space representations for semantically similar sentences, which involves ""disregarding irrelevant parts"" of the sentence. This specific training and architecture modifications lead to a different bias compared to vanilla BERT-based models. (paper1.pdf, pages 1, 9)

In summary, unlike traditional BERT with token averaging which treats all tokens uniformly leading to less focused sentence representations, sentence transformers produce more semantically focused, structured embeddings by emphasizing the core meaning-bearing parts of the sentence and deemphasizing function words and background elements.

These points are supported by multiple sections from paper1.pdf, specifically pages 1, 4, 8, and 9.",0.2537764350453172,0.09118541033434652,0.15105740181268884,0.9033314000116661,paper1_P008_C000,paper1_P009_C000,paper1_P001_C003,paper1_P004_C004,paper1_P004_C000
sentence_transformer,Q002,What problems can occur when BERT token representations are averaged to create sentence embeddings?,"Averaging BERT token representations can give similar importance to semantically important and unimportant elements of a sentence. Function words, punctuation and other peripheral elements may influence the representation alongside important predicates and participants, while long modifiers can also disproportionately affect the resulting sentence embedding.","Averaging BERT token representations to create sentence embeddings can lead to several problems. It makes it impossible to distinguish between semantically rich and impoverished sentence elements or between syntactically central versus peripheral elements. For example, punctuation marks and determiners contribute equally as important content such as the matrix-clause predicate and main participants, while lengthy modifiers and multi-word copula forms may dominate the representation undesirably. Additionally, sentence embeddings derived by averaging BERT token representations suffer from artifacts arising from positional embeddings. This averaging approach also tends to treat all tokens similarly, ignoring lexical and structural nuances important for semantic representation (paper1.pdf, pages 3 and 8). 

In contrast, sentence transformers learn to discount grammatical or background information and focus on the semantic core of sentences, explaining why they often outperform vanilla BERT with token averaging on sentence modeling tasks (paper1.pdf, page 8).",0.3191489361702127,0.08602150537634408,0.21276595744680854,0.03199090005364269,paper1_P008_C005,paper1_P008_C000,paper1_P003_C001,paper1_P004_C004,paper1_P004_C000
sentence_transformer,Q003,What alternatives to simple BERT token averaging have been proposed for sentence representation?,Alternatives to simple BERT token averaging include pooling strategies such as max pooling and specialised sentence transformer architectures. Sentence transformers are trained specifically to generate meaningful fixed-length sentence representations rather than simply averaging contextual token embeddings.,"Alternatives to simple BERT token averaging proposed for sentence representation include:

1. Sentence transformers (STs), which learn to discount elements serving only grammatical or background functions and emphasize the semantic kernel of sentences, thereby providing improved sentence embeddings compared to vanilla BERT with token averaging (paper1.pdf, page 8, chunk paper1_P008_C000).

2. Maxpooling instead of averaging, as argued by Zhelezniak et al. (2019), to better represent sentence features (paper1.pdf, page 8, chunk paper1_P008_C005).

3. High-level probing methods combining document-level statistics and manipulations such as word and sentence shuffling, token-frequency similarity, and textual fluency to analyze model performance for tasks like information retrieval—though this approach is different in methodological focus from the present study (MacAvaney et al., 2022; paper1.pdf, page 8, chunk paper1_P008_C005).

Thus, maxpooling and sentence transformers are the main discussed alternatives to simple token averaging in BERT for sentence representation.

Reference: paper1.pdf, pages 8 (chunks paper1_P008_C000, paper1_P008_C005).",0.20792079207920794,0.1,0.16831683168316833,0.11483279999811202,paper1_P008_C000,paper1_P008_C005,paper1_P003_C001,paper1_P011_C000,paper1_P002_C000
sentence_transformer,Q004,How have researchers analysed which linguistic properties influence sentence transformer representations?,"Researchers have analysed sentence transformer representations using controlled sentence sets and statistical models that examine linguistic features such as lexical overlap, part-of-speech information, syntactic position and participant overlap. These methods help identify which linguistic properties have the strongest influence on similarity between sentence embeddings.","Researchers have analyzed which linguistic properties influence sentence transformer representations by using simple linguistic features such as lexical overlap to make precise inferences about sentence-pair similarities. They have compared sentence transformer outputs with bag-of-words distributional models and found that sentence transformers focus more on key sentence elements, such as the matrix clause, and are less tied to individual lexical items and function words. This approach highlights biases and the degree to which sentence transformers utilize structural and lexical information in encoding sentence meaning (Source: paper1.pdf, page 9, chunk paper1_P009_C000). 

Additionally, other studies have examined the sensitivity of transformers to sentence structure by performing transformations (e.g., word order shuffling) and observing how these affect model predictions on natural language inference tasks. These analyses demonstrated that transformers are often reliant on lexical cues and less sensitive to structural changes that alter sentence meaning, indicating a limitation in how these models represent sentence compositionality (Source: paper2.pdf, pages 32-33, chunks paper2_P032_C000, paper2_P033_C001, paper2_P033_C002, paper2_P033_C003).",0.27802690582959644,0.09049773755656107,0.1704035874439462,0.01656460005324334,paper2_P033_C002,paper2_P033_C001,paper2_P033_C003,paper2_P032_C000,paper1_P009_C000
sentence_transformer,Q005,How can sentence transformer representations be decomposed according to linguistic or semantic properties?,"Sentence transformer representations can be decomposed into components associated with particular linguistic or semantic properties. Previous approaches have divided sentence embeddings into segments corresponding to meaning components derived from semantic representations such as AMR, with an additional residual component representing information not captured by those predefined properties.","The document suggests that standard transformer sentence embeddings do not effectively capture the structural and semantic role information of sentences, as they tend to rely heavily on lexical information and incidental correlations (paper2.pdf, p.33, chunk paper2_P033_C000, paper2_P033_C001). Sentence embeddings from transformers often fail to reflect changes in sentence structure or the interchange of semantic roles, indicating a lack of sensitivity to such linguistic properties (paper2.pdf, p.33, chunk paper2_P033_C002).

To address this, an alternative approach involves not representing a sentence as a single vector embedding but using a hybrid method. This method uses static word embeddings for individual words and combines them according to a syntax-based model to form a structured sentence representation. Consequently, the representation is composed of multiple elements reflecting the syntax and semantics rather than a single embedding (paper2.pdf, p.34, chunk paper2_P034_C002).

Additionally, recent work aims to augment transformers with explicit syntactic and semantic role information during training by injecting such information using treebanks or other syntactic data to improve the decomposition of sentence representations according to linguistic properties (paper2.pdf, p.9, chunk paper2_P009_C003).

In summary, sentence transformer representations can be decomposed linguistically and semantically by moving beyond single-vector embeddings to structured representations that incorporate static word embeddings combined via syntax-based models, and by enhancing transformer models with explicit syntactic and semantic role information during training.

Source: paper2.pdf, pages 9, 33-34 (chunks paper2_P009_C003, paper2_P033_C000, paper2_P033_C001, paper2_P033_C002, paper2_P034_C002)",0.18831168831168832,0.0392156862745098,0.09090909090909091,0.020472100004553795,paper2_P033_C001,paper2_P034_C002,paper2_P033_C002,paper2_P033_C000,paper2_P009_C003
sentence_transformer,Q006,What evidence shows that sentence transformers perform strongly on semantic search and question answering tasks?,Sentence transformers generate fixed-dimensional sentence embeddings that perform strongly on semantic similarity and sentence-level downstream tasks. Their ability to place semantically related sentences close together in embedding space makes these representations useful for applications involving semantic retrieval and related language-understanding tasks.,"The evidence showing that sentence transformers perform strongly on semantic search and question answering tasks is found in paper1.pdf, page 1. It states that sentence transformers (STs) have achieved state-of-the-art performance on downstream tasks such as semantic search and question answering (Santander-Cruz et al., 2022; Ha et al., 2021). This highlights their effectiveness in producing semantically meaningful vector-space representations suitable for these applications (paper1.pdf, p.1, chunk paper1_P001_C003).",0.36363636363636365,0.08403361344537814,0.26446280991735543,0.018741199979558587,paper2_P033_C001,paper1_P001_C003,paper2_P032_C001,paper1_P008_C000,paper2_P032_C000
sentence_transformer,Q007,How does the paper describe the interpretability of sentence transformers?,"The paper describes sentence transformers as models whose internal sentence representations are often treated as black boxes. However, the study demonstrates that meaningful properties of their similarity behaviour can be explained using relatively simple linguistic features such as lexical overlap and the presence of important sentence participants.","The paper describes the interpretability of sentence transformers by highlighting that it is possible to make surprisingly precise inferences about sentence-pair similarities using simple linguistic features such as lexical overlap. Sentence transformers (STs), unlike vanilla BERT embeddings, generate more structured embeddings that focus on the matrix clause and reduce the influence of individual lexical items and function words. However, this progress comes with specific biases in their representations. Overall, sentence transformers are often viewed as black boxes, but the findings demonstrate that their behavior can be partially interpreted through these linguistic cues (source: paper1.pdf, page 9).",0.4551724137931034,0.1958041958041958,0.27586206896551724,0.0413788000587374,paper2_P033_C002,paper2_P033_C001,paper2_P049_C000,paper2_P033_C003,paper1_P009_C000
sentence_transformer,Q008,What kinds of downstream tasks have sentence transformers performed strongly on?,"Sentence transformers have achieved strong performance on sentence-level semantic tasks that depend on meaningful sentence representations, including semantic textual similarity and related retrieval-oriented applications where sentences must be compared according to their meaning.","Sentence transformers (STs) have achieved state-of-the-art performance on downstream tasks such as semantic search and question answering (paper1.pdf, page 1, chunk paper1_P001_C003).",0.2857142857142857,0.09836065573770492,0.2857142857142857,0.01783719996456057,paper1_P001_C002,paper2_P033_C001,paper1_P001_C003,paper1_P008_C003,paper1_P001_C001
sentence_transformer,Q009,How have probing methods been used to analyse sentence and document representations?,"Probing methods analyse learned representations by testing whether particular linguistic properties can be recovered from them. Researchers use controlled analyses or predictive models to determine whether sentence embeddings encode information such as lexical, syntactic or semantic properties and to investigate how strongly different properties influence the representation.","Probing methods have been used in the analysis of transformer-based models primarily for sentence-level tasks such as natural language inference (NLI), question answering, and text classification. These methods include examining the internal representations through probing tasks, analyzing the geometry of the embedding space, identifying parts of the input crucial for model performance, and conducting behavioral analysis. For example, Liu et al. (2021) exemplify this approach by probing internal representations to understand how models incorporate sentence meaning and structure (paper1.pdf, p.8).

At the document level, related work (e.g., MacAvaney et al. (2022)) has applied probing methods to analyze models' performance on information retrieval tasks. Their methodology involves manipulating whole documents using techniques such as word and sentence shuffling, examining token-frequency similarity between document and query, and assessing textual fluency. This approach focuses on high-level document statistics, complementing sentence-level probing by emphasizing linguistically motivated structural factors (paper1.pdf, p.8).

Overall, probing serves as a methodological tool to dissect how models represent linguistic structure at both sentence and document levels, revealing reliance on lexical, syntactic, and structural cues for coherence and meaning representation.

Sources:
- paper1.pdf, page 8, chunks paper1_P008_C003 and paper1_P008_C005",0.1606425702811245,0.024291497975708502,0.10441767068273093,0.021156999981030822,paper1_P008_C003,paper2_P038_C001,paper1_P002_C002,paper1_P008_C005,paper2_P012_C002
sentence_transformer,Q010,Which linguistic and structural properties are examined when analysing sentence transformer representations?,"The analysis examines properties including lexical overlap, parts of speech, sentence participants, syntactic positions and structural relationships between sentence elements. These factors are used to investigate which components of a sentence have the greatest influence on similarities produced by sentence transformers.","The linguistic and structural properties examined when analyzing sentence transformer representations include sentence structure, semantic roles, syntax, and word order. The analysis investigates how sentence embeddings vary in response to changes in these properties, such as interchanging semantic roles of words within a sentence, which impacts meaning according to established psychological and linguistic principles. Positional encoding capturing linear word order and syntax-related information are also examined to assess whether transformers effectively utilize this information in representing sentence meaning. The studies show that transformers lack sensitivity to these structural changes and underutilize semantic role information despite encoding some syntax and word order information in hidden layers. This reveals fundamental limitations in how transformers represent sentence meaning compared to human language processing (paper2.pdf, pp. 33–34, chunks paper2_P033_C000 to paper2_P033_C003 and paper2_P034_C002).",0.23463687150837992,0.04519774011299436,0.1340782122905028,0.015134899993427098,paper2_P033_C002,paper2_P033_C001,paper2_P034_C002,paper2_P033_C000,paper2_P033_C003
