model,question_id,relevant_chunk_ids,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,top1_accuracy,top3_accuracy,top5_accuracy,reciprocal_rank,retrieval_time,retrieved_rank_1,retrieved_rank_2,retrieved_rank_3,retrieved_rank_4,retrieved_rank_5
sentence_transformer,Q001,A Benchmarking Library for Retrieval-Augmented Generation_P002_C001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.2463198999757878,A Benchmarking Library for Retrieval-Augmented Generation_P014_C000,A Benchmarking Library for Retrieval-Augmented Generation_P001_C002,A Benchmarking Library for Retrieval-Augmented Generation_P003_C000,A Benchmarking Library for Retrieval-Augmented Generation_P016_C000,RAG Failure Points and Challenges_P002_C000
sentence_transformer,Q002,A Benchmarking Library for Retrieval-Augmented Generation_P006_C003,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.016140000021550804,A Benchmarking Library for Retrieval-Augmented Generation_P003_C000,A Benchmarking Library for Retrieval-Augmented Generation_P001_C002,A Benchmarking Library for Retrieval-Augmented Generation_P002_C002,survey_of_RAG_P002_C002,RAG Failure Points and Challenges_P002_C000
sentence_transformer,Q003,A Benchmarking Library for Retrieval-Augmented Generation_P008_C001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.018182499974500388,survey_of_RAG_P002_C001,survey_of_RAG_P012_C004,A Benchmarking Library for Retrieval-Augmented Generation_P001_C002,survey_of_RAG_P001_C006,survey_of_RAG_P012_C005
sentence_transformer,Q004,Automated Evaluation of Retrieval Augmented Generation_P001_C000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.01384249998955056,Embedding Similarity in RAG_P002_C007,RAG Failure Points and Challenges_P002_C000,survey_of_RAG_P001_C008,survey_of_RAG_P001_C006,survey_of_RAG_P002_C004
sentence_transformer,Q005,Automated Evaluation of Retrieval Augmented Generation_P005_C001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.013308499997947365,survey_of_RAG_P012_C003,Embedding Similarity in RAG_P004_C002,survey_of_RAG_P014_C000,Embedding Similarity in RAG_P004_C001,survey_of_RAG_P014_C001
sentence_transformer,Q006,Automated Evaluation of Retrieval Augmented Generation_P005_C004,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.015308799978811294,Embedding Similarity in RAG_P002_C007,survey_of_RAG_P012_C003,survey_of_RAG_P012_C005,survey_of_RAG_P012_C006,RAG Failure Points and Challenges_P002_C000
sentence_transformer,Q007,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P001_C005,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.01753499999176711,E5_Text_Embeddings_Microsoft_P005_C005,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P006_C002,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P002_C004,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P008_C002,ColBERT_Late_Interaction_Retrieval_P008_C008
sentence_transformer,Q008,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P004_C000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.018006899976171553,A Benchmarking Library for Retrieval-Augmented Generation_P002_C006,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P008_C002,A Benchmarking Library for Retrieval-Augmented Generation_P018_C000,RAG_for_factual_answers_P008_C003,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P002_C004
sentence_transformer,Q009,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P008_C002,0.0,0.0,0.2,0.0,0.0,1.0,0,0,1,0.2,0.016557299997657537,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P004_C000,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P001_C005,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P007_C001,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P003_C002,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P008_C002
sentence_transformer,Q010,BERT_Passage_Reranking_P001_C000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.012512600049376488,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C003,GlobalRAG_GlobalQA_P013_C000,BERT_Passage_Reranking_P003_C003,E5_Text_Embeddings_Microsoft_P007_C000,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C000
