question_id	question	relevant_chunk_ids	reference_answer	source	page
Q001	What is BERGEN designed to provide for RAG research?	A Benchmarking Library for Retrieval-Augmented Generation_P002_C001	BERGEN is a Python library designed to support easy, reproducible, end-to-end RAG experiments and standardize comparisons across RAG systems.	A Benchmarking Library for Retrieval-Augmented Generation.pdf	2
Q002	How does reranking affect RAG performance in the BERGEN experiments?	A Benchmarking Library for Retrieval-Augmented Generation_P006_C003	The BERGEN experiments show that reranking substantially improves results, with SPLADE-v3 reranked by DeBERTa-v3 achieving the strongest performance among the compared retrieval setups.	A Benchmarking Library for Retrieval-Augmented Generation.pdf	6
Q003	What does BERGEN conclude about the importance of retrieval quality for RAG generation?	A Benchmarking Library for Retrieval-Augmented Generation_P008_C001	BERGEN concludes that retrieval quality significantly affects RAG response generation and emphasizes using state-of-the-art retrievers and rerankers.	A Benchmarking Library for Retrieval-Augmented Generation.pdf	8
Q004	What is Ragas and what problem is it intended to solve?	Automated Evaluation of Retrieval Augmented Generation_P001_C000	Ragas is a framework for reference-free automated evaluation of retrieval-augmented generation pipelines.	Automated Evaluation of Retrieval Augmented Generation.pdf	1
Q005	How are the proposed Ragas metrics compared with human judgments?	Automated Evaluation of Retrieval Augmented Generation_P005_C001	The proposed metrics are evaluated by measuring how often their preferred answer or context agrees with human annotators, with agreement reported as accuracy.	Automated Evaluation of Retrieval Augmented Generation.pdf	5
Q006	What evaluation need does the Ragas study emphasize in its conclusion?	Automated Evaluation of Retrieval Augmented Generation_P005_C004	The study emphasizes the need for automated, reference-free evaluation methods for RAG systems.	Automated Evaluation of Retrieval Augmented Generation.pdf	5
Q007	What is a major contribution of the BM25-to-Corrective-RAG benchmark?	Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P001_C005	The study provides a systematic benchmark of ten retrieval methods on a text-and-table financial question-answering corpus, including methods such as contextual retrieval, CRAG, and neural reranking.	Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG.pdf	1
Q008	Which retrieval pipeline achieved the best Recall@5 on the full T2-RAGBench test set?	Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P004_C000	A two-stage pipeline combining hybrid retrieval with neural reranking achieved the best Recall@5, reaching 0.816 on the full T2-RAGBench test set.	Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG.pdf	4
Q009	What key conclusion does the benchmark report about hybrid retrieval with neural reranking?	Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P008_C002	The study concludes that a two-stage hybrid retrieval plus neural reranking pipeline performs best, reaching Recall@5 of 0.816 and MRR@3 of 0.605.	Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG.pdf	8
Q010	How is BERT adapted in the passage reranking study?	BERT_Passage_Reranking_P001_C000	The study adapts BERT as a query-based passage reranker for information retrieval.	BERT_Passage_Reranking.pdf	1
