model,question_id,relevant_chunk_ids,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,top1_accuracy,top3_accuracy,top5_accuracy,reciprocal_rank,retrieval_time,retrieved_rank_1,retrieved_rank_2,retrieved_rank_3,retrieved_rank_4,retrieved_rank_5
sentence_transformer,Q001,paper1_P008_C000|paper1_P009_C000,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1,1,1,1.0,0.05950730000040494,paper1_P008_C000,paper1_P009_C000,paper1_P001_C003,paper1_P004_C004,paper1_P004_C000
sentence_transformer,Q002,paper1_P008_C000|paper1_P008_C005,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1,1,1,1.0,0.028844999993452802,paper1_P008_C005,paper1_P008_C000,paper1_P003_C001,paper1_P004_C004,paper1_P004_C000
sentence_transformer,Q003,paper1_P001_C002|paper1_P008_C005,0.0,0.3333333333333333,0.2,0.0,0.5,0.5,0,1,1,0.5,0.02908980002393946,paper1_P008_C000,paper1_P008_C005,paper1_P003_C001,paper1_P011_C000,paper1_P002_C000
sentence_transformer,Q004,paper1_P002_C004|paper1_P002_C005,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.024022400000831112,paper2_P033_C002,paper2_P033_C001,paper2_P033_C003,paper2_P032_C000,paper1_P009_C000
sentence_transformer,Q005,paper1_P008_C006,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.023067700007231906,paper2_P033_C001,paper2_P034_C002,paper2_P033_C002,paper2_P033_C000,paper2_P009_C003
sentence_transformer,Q006,paper1_P001_C003,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0,1,1,0.5,0.027559699985431507,paper2_P033_C001,paper1_P001_C003,paper2_P032_C001,paper1_P008_C000,paper2_P032_C000
sentence_transformer,Q007,paper1_P001_C003|paper1_P009_C000,0.0,0.0,0.2,0.0,0.0,0.5,0,0,1,0.2,0.034803399990778416,paper2_P033_C002,paper2_P033_C001,paper2_P049_C000,paper2_P033_C003,paper1_P009_C000
sentence_transformer,Q008,paper1_P001_C003,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0,1,1,0.3333333333333333,0.0337005999754183,paper1_P001_C002,paper2_P033_C001,paper1_P001_C003,paper1_P008_C003,paper1_P001_C001
sentence_transformer,Q009,paper1_P008_C004|paper1_P008_C005,0.0,0.0,0.2,0.0,0.0,0.5,0,0,1,0.25,0.03965240000979975,paper1_P008_C003,paper2_P038_C001,paper1_P002_C002,paper1_P008_C005,paper2_P012_C002
sentence_transformer,Q010,paper1_P001_C005|paper1_P002_C004,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.03621530000236817,paper2_P033_C002,paper2_P033_C001,paper2_P034_C002,paper2_P033_C000,paper2_P033_C003
sentence_transformer,Q011,paper2_P001_C001|paper2_P037_C000,0.0,0.3333333333333333,0.2,0.0,0.5,0.5,0,1,1,0.3333333333333333,0.03043230000184849,paper2_P003_C001,paper2_P005_C002,paper2_P037_C000,paper2_P003_C002,paper2_P037_C001
sentence_transformer,Q012,paper2_P005_C000|paper2_P034_C000|paper2_P036_C004,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.027678299986291677,paper2_P033_C002,paper2_P034_C002,paper2_P033_C001,paper2_P032_C003,paper2_P003_C000
sentence_transformer,Q013,paper2_P003_C001|paper2_P003_C002,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1,1,1,1.0,0.03311380001832731,paper2_P003_C001,paper2_P003_C002,paper2_P005_C002,paper2_P008_C001,paper2_P008_C000
sentence_transformer,Q014,paper2_P003_C003|paper2_P010_C003,1.0,0.3333333333333333,0.2,0.5,0.5,0.5,1,1,1,1.0,0.04382620000978932,paper2_P003_C003,paper2_P003_C002,paper2_P003_C006,paper2_P034_C000,paper2_P003_C004
sentence_transformer,Q015,paper2_P002_C004,0.0,0.0,0.2,0.0,0.0,1.0,0,0,1,0.2,0.03384310001274571,paper2_P034_C005,paper2_P002_C003,paper2_P005_C002,paper2_P003_C004,paper2_P002_C004
sentence_transformer,Q016,paper2_P003_C000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.038109100016299635,paper2_P038_C006,paper2_P032_C001,paper2_P032_C003,paper2_P042_C001,paper2_P040_C001
sentence_transformer,Q017,paper2_P033_C001|paper2_P034_C000|paper2_P035_C002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0344825999927707,paper1_P008_C006,paper2_P044_C006,paper2_P038_C001,paper1_P002_C002,paper2_P012_C003
sentence_transformer,Q018,paper2_P031_C000|paper2_P031_C001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.03468829998746514,paper2_P011_C003,paper2_P022_C000,paper2_P014_C000,paper2_P012_C001,paper2_P022_C001
sentence_transformer,Q019,paper2_P005_C000|paper2_P025_C001|paper2_P025_C002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0407413000066299,paper2_P025_C003,paper2_P028_C000,paper2_P024_C004,paper2_P027_C001,paper2_P028_C001
sentence_transformer,Q020,paper2_P037_C002,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1,1,1,1.0,0.03911089999019168,paper2_P037_C002,paper2_P037_C000,paper2_P019_C000,paper2_P003_C002,paper2_P037_C003
bge,Q001,paper1_P008_C000|paper1_P009_C000,1.0,0.3333333333333333,0.2,0.5,0.5,0.5,1,1,1,1.0,0.12753410000004806,paper1_P008_C000,paper1_P001_C000,paper2_P034_C002,paper2_P025_C004,paper2_P034_C003
bge,Q002,paper1_P008_C000|paper1_P008_C005,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1,1,1,1.0,0.07837989999097772,paper1_P008_C000,paper1_P008_C005,paper1_P001_C002,paper1_P008_C004,paper1_P003_C001
bge,Q003,paper1_P001_C002|paper1_P008_C005,0.0,0.3333333333333333,0.4,0.0,0.5,1.0,0,1,1,0.3333333333333333,0.08675860002404079,paper1_P008_C000,paper1_P002_C000,paper1_P008_C005,paper1_P008_C004,paper1_P001_C002
bge,Q004,paper1_P002_C004|paper1_P002_C005,0.0,0.3333333333333333,0.2,0.0,0.5,0.5,0,1,1,0.5,0.0834000000031665,paper1_P001_C000,paper1_P002_C005,paper2_P033_C000,paper2_P038_C001,paper2_P036_C004
bge,Q005,paper1_P008_C006,0.0,0.0,0.2,0.0,0.0,1.0,0,0,1,0.25,0.07258419998106547,paper2_P034_C002,paper2_P010_C003,paper1_P009_C002,paper1_P008_C006,paper2_P034_C004
bge,Q006,paper1_P001_C003,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.08412939999834634,paper2_P033_C002,paper2_P033_C000,paper1_P008_C000,paper2_P038_C001,paper2_P036_C004
bge,Q007,paper1_P001_C003|paper1_P009_C000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.08149350000894628,paper2_P033_C002,paper2_P033_C000,paper2_P036_C004,paper2_P033_C001,paper1_P008_C004
bge,Q008,paper1_P001_C003,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1,1,1,1.0,0.07694850000552833,paper1_P001_C003,paper2_P033_C002,paper1_P008_C000,paper2_P032_C003,paper2_P033_C000
bge,Q009,paper1_P008_C004|paper1_P008_C005,0.0,0.3333333333333333,0.2,0.0,0.5,0.5,0,1,1,0.3333333333333333,0.08115850001922809,paper2_P038_C001,paper2_P010_C004,paper1_P008_C005,paper2_P011_C000,paper2_P004_C001
bge,Q010,paper1_P001_C005|paper1_P002_C004,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.08297079999465495,paper1_P001_C000,paper2_P033_C001,paper1_P008_C006,paper2_P033_C002,paper2_P038_C001
bge,Q011,paper2_P001_C001|paper2_P037_C000,0.0,0.0,0.2,0.0,0.0,0.5,0,0,1,0.2,0.07678549998672679,paper2_P005_C002,paper2_P003_C001,paper2_P003_C002,paper2_P010_C004,paper2_P037_C000
bge,Q012,paper2_P005_C000|paper2_P034_C000|paper2_P036_C004,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.08319439998012967,paper2_P033_C002,paper2_P034_C002,paper2_P005_C002,paper2_P003_C000,paper2_P031_C001
bge,Q013,paper2_P003_C001|paper2_P003_C002,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1,1,1,1.0,0.08015249998425134,paper2_P003_C001,paper2_P005_C002,paper2_P003_C002,paper2_P037_C000,paper2_P005_C001
bge,Q014,paper2_P003_C003|paper2_P010_C003,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1,1,1,1.0,0.07641680000233464,paper2_P003_C003,paper2_P010_C003,paper2_P037_C000,paper2_P003_C002,paper2_P003_C005
bge,Q015,paper2_P002_C004,0.0,0.0,0.2,0.0,0.0,1.0,0,0,1,0.2,0.07424549999996088,paper2_P005_C002,paper2_P037_C000,paper2_P034_C005,paper2_P003_C005,paper2_P002_C004
bge,Q016,paper2_P003_C000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.06991640001069754,paper2_P018_C000,paper2_P042_C001,paper2_P034_C002,paper2_P028_C001,paper2_P032_C001
bge,Q017,paper2_P033_C001|paper2_P034_C000|paper2_P035_C002,0.0,0.0,0.2,0.0,0.0,0.3333333333333333,0,0,1,0.25,0.08557890000520274,paper2_P038_C001,paper1_P002_C002,paper2_P037_C000,paper2_P033_C001,paper1_P008_C006
bge,Q018,paper2_P031_C000|paper2_P031_C001,0.0,0.3333333333333333,0.4,0.0,0.5,1.0,0,1,1,0.3333333333333333,0.08295459998771548,paper2_P012_C004,paper2_P023_C000,paper2_P031_C001,paper2_P022_C001,paper2_P031_C000
bge,Q019,paper2_P005_C000|paper2_P025_C001|paper2_P025_C002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.08070570000563748,paper2_P027_C001,paper2_P040_C001,paper2_P028_C000,paper2_P028_C002,paper2_P028_C001
bge,Q020,paper2_P037_C002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.08426979999057949,paper2_P037_C000,paper2_P005_C000,paper2_P036_C004,paper2_P005_C001,paper2_P031_C001
